code_INSEE;nb_menages_fiscaux_com;nb_personnes_dans_menage_com;Médiane_niv_vie_com;tx_pauvrete_total_com;tx_pauvrete-locataires_com
02222;;;;;
02223;118;304;20572;;
02224;130;349;19248;;
02225;;;;;
02226;776;1895;20415;;
02227;48;128;20325;;
02228;123;308;20410;;
02229;;;;;
02230;81;189;21026;;
02231;359;947;18397;;
02232;90;230;21657;;
02233;52;136;19676;;
02234;;;;;
02235;47;115;18891;;
02236;121;330;19583;;
02237;583;1404;18638;;
02238;708;1761;18797;;
02239;454;1171;18927;;
02240;85;226;19029;;
02241;40;104;19295;;
02242;258;640;21810;;
02243;1255;2844;19450;15;29
02244;;;;;
02245;659;1584;19955;;
02246;240;590;20393;;
02248;60;152;16624;;
02249;44;109;20634;;
02250;;;;;
02251;;;;;
02252;;;;;
02253;144;366;22960;;
02254;49;128;21313;;
02255;61;162;20428;;
02256;47;124;15335;;
02257;177;457;23315;;
02258;148;364;21002;;
02259;150;393;23833;;
02260;245;617;17826;;
02261;157;399;20297;;
02262;85;218;21472;;
02263;47;119;21091;;
02264;305;765;16773;;
02265;;;;;
02266;;;;;
02267;114;310;20733;;
02268;254;649;21217;;
02269;61;148;20475;;
02270;60;152;16919;;
02271;54;132;18004;;
02272;;;;;
02273;81;219;21287;;
02274;75;203;18831;;
02275;136;333;14972;;
02276;50;117;21263;;
02277;129;355;19047;;
02278;;;;;
02279;233;597;23038;;
02280;150;401;21853;;
02281;86;236;19598;;
02282;171;437;19670;;
02283;117;297;17904;;
02284;;;;;
02286;351;844;18410;;
02287;443;1071;23176;;
02288;150;362;19332;;
02289;176;424;22553;;
02290;1112;2725;21666;10;
02291;161;417;19905;;
02292;598;1354;20349;;
02293;215;543;18791;;
02294;90;216;23631;;
02295;368;853;17054;;
02296;446;1154;21154;;
02297;46;116;22361;;
02298;643;1401;17667;;
02299;223;557;20449;;
02302;116;335;22084;;
02303;265;678;29367;;
02304;1212;2561;14077;40;49
02305;1320;2982;17222;25;42
02306;218;550;17846;;
02307;897;2106;20983;11;
02308;206;510;18255;;
02309;248;627;19662;;
02310;109;254;20509;;
02311;56;130;20464;;
02312;417;1076;18790;;
02313;167;438;17877;;
02315;600;1533;18842;;
02316;59;130;25720;;
02317;86;218;23747;;
02318;613;1419;17646;;
02319;194;503;17526;;
02320;104;258;22464;;
02321;375;932;19837;;
02322;152;392;21825;;
02323;51;139;21065;;
02324;102;264;18961;;
02326;202;494;21163;;
02327;61;160;17711;;
02328;221;547;23542;;
02329;167;426;22182;;
02330;183;457;23744;;
02331;55;114;17699;;
02332;104;258;19567;;
02333;60;150;19168;;
02334;1225;2959;17039;21;37
02335;79;192;20342;;
02336;361;981;20635;;
02337;76;176;19178;;
02338;102;260;17902;;
02339;257;672;20517;;
02340;2285;5324;18804;17;32
02341;115;279;20413;;
02342;57;137;18674;;
02343;;;;;
02345;;;;;
02346;282;684;20275;;
02347;195;469;23770;;
02349;;;;;
02350;57;136;18288;;
02351;47;120;21338;;
02352;230;531;17578;;
02353;125;306;18489;;
02354;;;;;
02355;358;990;21214;;
02356;78;241;18040;;
02357;;;;;
02358;146;375;17685;;
02359;517;1357;20175;;
02360;1128;2703;21200;9;
02361;2140;4617;15300;33;49
02362;100;256;20670;;
02363;178;404;17642;;
02364;96;248;23037;;
02366;126;340;16983;;
